ProbeID,Accession,Region,Other1,UniGeneID,GeneDescription,SYMBOL,GENENAME
Hsa.20836,R02593,3' UTR,2a,124094,60S ACIDIC RIBOSOMAL PROTEIN P1 (Polyorchis penicillatus),NA,NA
Hsa.909,M11799,gene,1,NA,"Human MHC class I HLA-Bw58 gene, complete cds.                                                                                                                                                                                                        ",NA,NA
Hsa.878,T61609,3' UTR,1,78081,LAMININ RECEPTOR (HUMAN);.,NA,NA
Hsa.1648,T62220,3' UTR,1,79130,CALPACTIN I LIGHT CHAIN (HUMAN);.,NA,NA
Hsa.1836,T51574,3' UTR,1,72258,40S RIBOSOMAL PROTEIN S24 (HUMAN).,NA,NA
Hsa.1273,T48041,3' UTR,1,72117,Human messenger RNA fragment for the beta-2 microglobulin.,NA,NA
Hsa.19249,T96832,3' UTR,2a,121265,INTERFERON-ALPHA RECEPTOR PRECURSOR (Homo sapiens),NA,NA
Hsa.2948,H54676,3' UTR,1,203220,60S RIBOSOMAL PROTEIN L18A (HUMAN);.,NA,NA
Hsa.7877,R86975,3' UTR,1,197282,40S RIBOSOMAL PROTEIN S28 (HUMAN);.,NA,NA
Hsa.1400,T63258,3' UTR,1,80068,ELONGATION FACTOR 1-ALPHA 1 (HUMAN);.,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
HSAC07,control,,,NA,,NA,NA
Hsa.8068,T57619,3' UTR,2a,75437,40S RIBOSOMAL PROTEIN S6 (Nicotiana tabacum),NA,NA
Hsa.1139,T88723,3' UTR,1,109876,UBIQUITIN (HUMAN);.,NA,NA
Hsa.27083,R36455,3' UTR,2a,136795,NUCLEOLAR TRANSCRIPTION FACTOR 1 (Homo sapiens),NA,NA
Hsa.3006,T61602,3' UTR,1,78084,40S RIBOSOMAL PROTEIN S11 (HUMAN);.,NA,NA
Hsa.5398,T58861,3' UTR,2a,77563,60S RIBOSOMAL PROTEIN L30E (Kluyveromyces lactis),NA,NA
Hsa.2299,U21909,gene,1,NA,"Human cofilin mRNA, partial cds.                                                                                                                                                                                                                     ",CFL1,cofilin 1
Hsa.1013,T61661,3' UTR,1,78161,PROFILIN I (HUMAN);.,NA,NA
Hsa.1013,T61661,3' UTR,1,78161,PROFILIN I (HUMAN);.,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
UMGAP,control,,,NA,,NA,NA
Hsa.2221,T52015,3' UTR,1,72642,ELONGATION FACTOR 1-GAMMA (HUMAN).,NA,NA
Hsa.1238,H24754,3' UTR,1,160886,FRUCTOSE-BISPHOSPHATE ALDOLASE A (HUMAN);.,NA,NA
Hsa.6039,H22688,3' UTR,1,173474,UBIQUITIN (HUMAN);.,NA,NA
Hsa.98,T93094,3' UTR,1,118704,ANNEXIN II (HUMAN);.,NA,NA
Hsa.2019,T51560,3' UTR,1,72227,40S RIBOSOMAL PROTEIN S16 (HUMAN).,NA,NA
Hsa.1732,U12255,gene,1,NA,"Human IgG Fc receptor hFcRn mRNA, complete cds.                                                                                                                                                                                                      ",FCGRT,Fc gamma receptor and transporter
Hsa.1732,U12255,gene,1,NA,"Human IgG Fc receptor hFcRn mRNA, complete cds.                                                                                                                                                                                                      ",FCGRT,Fc gamma receptor and transporter
Hsa.5363,R01182,3' UTR,1,123748,60S RIBOSOMAL PROTEIN L38 (HUMAN);.,NA,NA
Hsa.8093,R74349,3' UTR,2a,157011,TUBULIN ALPHA-2 CHAIN (Drosophila melanogaster),NA,NA
Hsa.5444,T48804,3' UTR,1,70269,40S RIBOSOMAL PROTEIN S24 (HUMAN).,NA,NA
Hsa.3094,H77302,3' UTR,1,233465,60S RIBOSOMAL PROTEIN (HUMAN);.,NA,NA
Hsa.1949,M14630,gene,1,NA,"Human prothymosin alpha mRNA, complete cds.                                                                                                                                                                                                          ",PTMA,prothymosin alpha
Hsa.361,T63499,3' UTR,1,81466,"HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-26(A-10) A*2601 ALPHA (HUMAN);.                                                                                                                                                                      ",NA,NA
Hsa.8125,T71025,3' UTR,1,84103,Human (HUMAN);.,NA,NA
Hsa.2361,T51534,3' UTR,1,72396,CYSTATIN C PRECURSOR (HUMAN).,NA,NA
Hsa.255,T69026,3' UTR,1,82338,60S RIBOSOMAL PROTEIN L9 (HUMAN);.,NA,NA
Hsa.2699,H68220,3' UTR,1,239040,UBIQUITIN-LIKE PROTEIN FUBI (HUMAN);.,NA,NA
Hsa.1013,T61661,3' UTR,1,78161,PROFILIN I (HUMAN);.,NA,NA
Hsa.1013,T61661,3' UTR,1,78161,PROFILIN I (HUMAN);.,NA,NA
Hsa.2542,X57346,gene,1,NA,H.sapiens mRNA for HS1 protein.,YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
Hsa.678,H55758,3' UTR,1,203413,ALPHA ENOLASE (HUMAN);.,NA,NA
Hsa.36957,H43908,3' UTR,2a,183315,TRANSFORMING GROWTH FACTOR BETA 2 PRECURSOR (Gallus gallus),NA,NA
Hsa.36957,H43908,3' UTR,2a,183315,TRANSFORMING GROWTH FACTOR BETA 2 PRECURSOR (Gallus gallus),NA,NA
Hsa.36957,H43908,3' UTR,2a,183315,TRANSFORMING GROWTH FACTOR BETA 2 PRECURSOR (Gallus gallus),NA,NA
Hsa.44403,H79575,3' UTR,2a,239681,BOTULINUM NEUROTOXIN TYPE C1 PRECURSOR (Clostridium botulinum),NA,NA
Hsa.2800,X55715,gene,1,NA,Human Hums3 mRNA for 40S ribosomal protein s3.,RPS3,ribosomal protein S3
Hsa.25867,H13281,3' UTR,2a,148358,PHOTOSYSTEM II 44 KD REACTION CENTRE PROTEIN (Synechocystis sp.),NA,NA
Hsa.25867,H13281,3' UTR,2a,148358,PHOTOSYSTEM II 44 KD REACTION CENTRE PROTEIN (Synechocystis sp.),NA,NA
Hsa.6977,R49974,3' UTR,2a,152762,LEUKOCYTE ANTIGEN CD37 (Homo sapiens),NA,NA
Hsa.6977,R49974,3' UTR,2a,152762,LEUKOCYTE ANTIGEN CD37 (Homo sapiens),NA,NA
Hsa.24121,R42570,3' UTR,2a,30822,PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE 45 KD SUBUNIT (Bos taurus),NA,NA
Hsa.9304,T47645,3' UTR,2a,71309,GONADOTROPIN-RELEASING HORMONE RECEPTOR (Homo sapiens),NA,NA
Hsa.2063,M24398,gene,1,NA,"Human parathymosin mRNA, complete cds. (HUMAN);contains element MER22 repetitive element ;.                                                                                                                                                          ",PTMS,parathymosin
Hsa.36957,H43908,3' UTR,2a,183315,TRANSFORMING GROWTH FACTOR BETA 2 PRECURSOR (Gallus gallus),NA,NA
Hsa.36957,H43908,3' UTR,2a,183315,TRANSFORMING GROWTH FACTOR BETA 2 PRECURSOR (Gallus gallus),NA,NA
Hsa.36957,H43908,3' UTR,2a,183315,TRANSFORMING GROWTH FACTOR BETA 2 PRECURSOR (Gallus gallus),NA,NA
Hsa.938,M31013,gene,1,NA,"Human nonmuscle myosin heavy chain (NMHC) mRNA, 3' end.                                                                                                                                                                                               ",MYH9,myosin heavy chain 9
Hsa.33965,H05803,3' UTR,2a,44039,"DIHYDROPRYRIDINE-SENSITIVE L-TYPE, SKELETAL MUSCLE CALCIUM CHANNEL ALPHA-1 SUBUNIT (Cyprinus carpio)                                                                                                                                        ",NA,NA
Hsa.2219,T56674,3' UTR,1,69387,CD63 ANTIGEN (HUMAN).,NA,NA
Hsa.2665,T68848,3' UTR,1,82178,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A (HUMAN);.,NA,NA
Hsa.954,T72938,3' UTR,1,84350,QM PROTEIN (HUMAN);.,NA,NA
Hsa.1812,M94345,gene,1,NA,"Homo sapiens macrophage capping protein mRNA, complete cds.                                                                                                                                                                                          ",CAPG,"capping actin protein, gelsolin like"
Hsa.27685,R50158,3' UTR,2a,153229,MITOCHONDRIAL LON PROTEASE HOMOLOG PRECURSOR (Homo sapiens),NA,NA
Hsa.20,D12686,gene,1,NA,Human mRNA for eukaryotic initiation factor 4 gamma (eIF-4 gamma).,EIF4G1,eukaryotic translation initiation factor 4 gamma 1
Hsa.2151,U09873,gene,1,NA,"Human actin bundling protein mRNA, complete cds.                                                                                                                                                                                                     ",FSCN1,fascin actin-bundling protein 1
Hsa.489,T47144,3' UTR,1,74837,JN0549 RIBOSOMAL PROTEIN YL30.,NA,NA
Hsa.12257,H64398,3' UTR,2a,238374,CALCINEURIN B SUBUNIT ISOFORM 1 (Homo sapiens),NA,NA
Hsa.2026,T87873,3' UTR,1,115778,JC2042 SUI1 TRANSLATION INITIATION FACTOR - ;.,NA,NA
Hsa.1500,M11354,gene,1,NA,"Human H3.3 histone, class B mRNA, complete cds.                                                                                                                                                                                                      ",H3-3A,H3.3 histone A
Hsa.5292,R01124,3' UTR,2a,124800,PROBABLE NUCLEAR ANTIGEN (Pseudorabies virus),NA,NA
Hsa.18897,T95318,3' UTR,2a,120517,"TRANSCRIPTION INITIATION FACTOR IIF, ALPHA SUBUNIT (Homo sapiens)                                                                                                                                                                          ",NA,NA
Hsa.45222,H85596,3' UTR,2a,223220,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II DELTA CHAIN (Rattus norvegicus),NA,NA
Hsa.32730,H13194,3' UTR,2a,158868,ADP-RIBOSYLATION FACTOR-LIKE PROTEIN 2 (Homo sapiens),NA,NA
Hsa.2419,D45887,gene,1,NA,"Human mRNA for calmodulin, complete cds.                                                                                                                                                                                                             ",CALM2,calmodulin 2
Hsa.1985,T52185,3' UTR,1,71940,P17074 40S RIBOSOMAL PROTEIN.,NA,NA
Hsa.10363,T89730,3' UTR,2a,117433,TUBULIN BETA-1 CHAIN (Gallus gallus),NA,NA
Hsa.3566,T57633,3' UTR,1,75467,40S RIBOSOMAL PROTEIN S8 (HUMAN).,NA,NA
Hsa.689,T62878,3' UTR,1,79597,CYTOCHROME C OXIDASE POLYPEPTIDE IV PRECURSOR (HUMAN);.,NA,NA
Hsa.624,M57710,gene,1,NA,"Human IgE-binding protein (epsilon-BP) mRNA, complete cds.                                                                                                                                                                                            ",LGALS3,galectin 3
Hsa.1978,T72879,3' UTR,1,84299,60S RIBOSOMAL PROTEIN L7A (HUMAN);.,NA,NA
Hsa.3409,T53396,3' UTR,2a,68775,60S ACIDIC RIBOSOMAL PROTEIN P1 (Polyorchis penicillatus),NA,NA
Hsa.3409,T53396,3' UTR,2a,68775,60S ACIDIC RIBOSOMAL PROTEIN P1 (Polyorchis penicillatus),NA,NA
Hsa.5346,T63370,3' UTR,2a,81523,GUANINE NUCLEOTIDE-BINDING PROTEIN BETA SUBUNIT-LIKE PROTEIN 12.3 (Homo sapiens),NA,NA
Hsa.38205,R91062,3' UTR,2a,194923,D(1C) DOPAMINE RECEPTOR (Xenopus laevis),NA,NA
Hsa.2582,T56934,3' UTR,1,68301,H.sapiens alpha NAC mRNA.,NA,NA
Hsa.11712,T61446,3' UTR,2a,79900,PUTATIVE DNA BINDING PROTEIN A20 (Homo sapiens),NA,NA
Hsa.10755,R78934,3' UTR,2a,146232,ENDOTHELIAL ACTIN-BINDING PROTEIN (Homo sapiens),NA,NA
Hsa.2600,Z23115,gene,1,NA,H.sapiens bcl-xL mRNA.,BCL2L1,BCL2 like 1
Hsa.2600,Z23115,gene,1,NA,H.sapiens bcl-xL mRNA.,BCL2L1,BCL2 like 1
Hsa.68,M86842,gene,1,NA,"Human cAMP response element regulatory protein (CREB2) mRNA, complete cds.                                                                                                                                                                             ",ATF4,activating transcription factor 4
Hsa.4316,T93589,3' UTR,2a,118042,TUBULIN ALPHA-6 CHAIN (Mus musculus),NA,NA
Hsa.2918,X67325,gene,1,NA,H.sapiens p27 mRNA.,IFI27,interferon alpha inducible protein 27
Hsa.2918,X67325,gene,1,NA,H.sapiens p27 mRNA.,IFI27,interferon alpha inducible protein 27
Hsa.914,V00523,gene,1,NA,Human mRNA for histocompatibility antigen HLA-DR (fragment). The alpha chain.,HLA-DRA,"major histocompatibility complex, class II, DR alpha"
Hsa.7280,X79066,gene,1,NA,H. sapiens ERF-1 mRNA 5' end.,ZFP36L1,ZFP36 ring finger protein like 1
Hsa.8126,T72889,3' UTR,1,84178,INTERFERON-INDUCIBLE PROTEIN 1-8U (HUMAN);.,NA,NA
Hsa.1737,T72175,3' UTR,1,85528,IG KAPPA CHAIN PRECURSOR V-III REGION (HUMAN);.,NA,NA
Hsa.1939,X17042,gene,1,NA,Human mRNA for hematopoetic proteoglycan core protein.,SRGN,serglycin
Hsa.1939,X17042,gene,1,NA,Human mRNA for hematopoetic proteoglycan core protein.,SRGN,serglycin
Hsa.1939,X17042,gene,1,NA,Human mRNA for hematopoetic proteoglycan core protein.,SRGN,serglycin
Hsa.2929,X04106,gene,1,NA,Human mRNA for calcium dependent protease (small subunit).,CAPNS1,calpain small subunit 1
Hsa.21232,R06716,3' UTR,2a,126474,MEVALONATE KINASE (Homo sapiens),NA,NA
Hsa.1961,M28214,gene,1,NA,RAS-RELATED PROTEIN RAB-3B (HUMAN);.,RAB3B,"RAB3B, member RAS oncogene family"
Hsa.916,V00522,gene,1,NA,Human mRNA encoding major histocompatibility complex gene HLA-DR beta-I.,HLA-DRB3,"major histocompatibility complex, class II, DR beta 3"
Hsa.1732,U12255,gene,1,NA,"Human IgG Fc receptor hFcRn mRNA, complete cds.                                                                                                                                                                                                      ",FCGRT,Fc gamma receptor and transporter
Hsa.1732,U12255,gene,1,NA,"Human IgG Fc receptor hFcRn mRNA, complete cds.                                                                                                                                                                                                      ",FCGRT,Fc gamma receptor and transporter
Hsa.13183,T74257,3' UTR,2a,84713,"ALKALINE PHOSPHATASE, PLACENTAL TYPE 1 PRECURSOR (Homo sapiens)                                                                                                                                                                             ",NA,NA
Hsa.4252,T51529,3' UTR,2a,72384,ELONGATION FACTOR 1-DELTA (Artemia salina),NA,NA
Hsa.572,M84326,gene,1,NA,"Human ADP-ribosylation factor 1 mRNA, complete cds.                                                                                                                                                                                                   ",ARF1,ARF GTPase 1
Hsa.45260,H85878,3' UTR,2a,222247,EUKARYOTIC INITIATION FACTOR 4 GAMMA (Homo sapiens),NA,NA
Hsa.73,R85464,3' UTR,1,179999,ATP SYNTHASE LIPID-BINDING PROTEIN P2 PRECURSOR (HUMAN);.,NA,NA
Hsa.3225,U27699,gene,1,NA,"Human pephBGT-1 betaine-GABA transporter mRNA, complete cds.                                                                                                                                                                                         ",SLC6A12,solute carrier family 6 member 12
Hsa.3225,U27699,gene,1,NA,"Human pephBGT-1 betaine-GABA transporter mRNA, complete cds.                                                                                                                                                                                         ",SLC6A12,solute carrier family 6 member 12
Hsa.6977,R49974,3' UTR,2a,152762,LEUKOCYTE ANTIGEN CD37 (Homo sapiens),NA,NA
Hsa.6977,R49974,3' UTR,2a,152762,LEUKOCYTE ANTIGEN CD37 (Homo sapiens),NA,NA
Hsa.3129,L38696,gene,1,NA,"Homo sapiens autoantigen p542 mRNA, 3' end of cds.                                                                                                                                                                                                   ",RALY,RALY heterogeneous nuclear ribonucleoprotein
Hsa.34312,H87366,3' UTR,2a,252444,CENTROMERIC PROTEIN E (Homo sapiens),NA,NA
Hsa.41309,X86779,gene,1,NA,H.sapiens mRNA for FAST kinase.,FASTK,Fas activated serine/threonine kinase
Hsa.537,T62856,3' UTR,1,79571,P09895 60S RIBOSOMAL PROTEIN ;.,NA,NA
Hsa.36694,D25217,gene,1,NA,"Human mRNA (KIAA0027) for ORF, partial cds.                                                                                                                                                                                                         ",MLC1,modulator of VRAC current 1
Hsa.957,M26697,gene,1,NA,"Human nucleolar protein (B23) mRNA, complete cds.                                                                                                                                                                                                     ",NPM1,nucleophosmin 1
Hsa.668,T65003,3' UTR,1,66879,P29316 60S RIBOSOMAL PROTEIN ;.,NA,NA
Hsa.10975,H46728,3' UTR,2a,177924,HYPOTHETICAL HIT-LIKE PROTEIN HI0961 (Haemophilus influenzae),NA,NA
Hsa.451,D21261,gene,1,NA,SM22-ALPHA HOMOLOG (HUMAN);.,TAGLN2,transgelin 2
Hsa.41357,M27635,gene,1,NA,"Homo sapiens MHC HLA-DRw12 allele mRNA, beta-1 chain, complete cds.                                                                                                                                                                                 ",HLA-DRB1,"major histocompatibility complex, class II, DR beta 1"
Hsa.810,R28373,3' UTR,1,133722,HEMOGLOBIN BETA CHAIN (HUMAN);.,NA,NA
Hsa.2071,X69723,gene,1,NA,H.sapiens TPI1 gene for triosephosphate isomerase.,NA,NA
Hsa.2655,H48072,3' UTR,1,193348,CYTOCHROME C OXIDASE POLYPEPTIDE VIA-LIVER (HUMAN);.,NA,NA
Hsa.91,M99626,gene,1,NA,"Human Mid1 gene, partial cds.                                                                                                                                                                                                                          ",MPG,N-methylpurine DNA glycosylase
Hsa.558,R34698,3' UTR,1,136738,INTERFERON-INDUCIBLE PROTEIN 9-27 (HUMAN);.,NA,NA
Hsa.1222,M19283,gene,1,NA,"Human cytoskeletal gamma-actin gene, complete cds.                                                                                                                                                                                                   ",NA,NA
Hsa.3017,T95063,3' UTR,1,120122,40S RIBOSOMAL PROTEIN S26 (HUMAN);.,NA,NA
Hsa.3409,T53396,3' UTR,2a,68775,60S ACIDIC RIBOSOMAL PROTEIN P1 (Polyorchis penicillatus),NA,NA
Hsa.3409,T53396,3' UTR,2a,68775,60S ACIDIC RIBOSOMAL PROTEIN P1 (Polyorchis penicillatus),NA,NA
Hsa.652,M86553,gene,1,NA,"Human cathepsin S mRNA, complete cds.                                                                                                                                                                                                                 ",CTSS,cathepsin S
Hsa.1829,X00700,gene,1,NA,Human mRNA fragment for class II histocompatibility antigen beta-chain (pII-beta-4).,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1"
Hsa.1367,T74906,3' UTR,1,84928,CYTOCHROME P450 IIA7 (HUMAN);.,NA,NA
Hsa.63,J03077,gene,1,NA,PROACTIVATOR POLYPEPTIDE PRECURSOR (HUMAN);contains TAR1 repetitive element ;.,PSAP,prosaposin
Hsa.27491,R98959,3' UTR,1,200858,"Homo sapiens very long chain acyl-CoA dehydrogenase gene, exons 1-20, complete cds.                                                                                                                                                         ",NA,NA
Hsa.1803,M29273,gene,1,NA,MYELIN-ASSOCIATED GLYCOPROTEIN PRECURSOR (HUMAN);.,MAG,myelin associated glycoprotein
Hsa.3197,X87838,gene,1,NA,H.sapiens mRNA for beta-catenin.,CTNNB1,catenin beta 1
Hsa.22614,R37276,3' UTR,2a,25988,EUKARYOTIC INITIATION FACTOR 4 GAMMA (Homo sapiens),NA,NA
Hsa.22614,R37276,3' UTR,2a,25988,EUKARYOTIC INITIATION FACTOR 4 GAMMA (Homo sapiens),NA,NA
Hsa.45604,H88360,3' UTR,2a,252849,"GUANINE NUCLEOTIDE-BINDING PROTEIN G(OLF), ALPHA SUBUNIT (Rattus norvegicus)                                                                                                                                                               ",NA,NA
Hsa.45604,H88360,3' UTR,2a,252849,"GUANINE NUCLEOTIDE-BINDING PROTEIN G(OLF), ALPHA SUBUNIT (Rattus norvegicus)                                                                                                                                                               ",NA,NA
