Country,Life_expectancy_at_birth,Health_expenditure,Education_Index,Infants_lacking_immunization_DTP_pct_of_one_year_olds,Infants_lacking_immunization_measles_pct_of_one_year_olds,Domestic_general_government_health_expenditure_pct_of_GDP,Population_using_at_least_basic_sanitation_services_pct,Unemployment_total_pct_of_labour_force,Income_inequality_Gini_coefficient,Old_age_dependency_ratio_old_age_65_and_older_per_100_people_ages_15_64
Kyrgyzstan,71.1,218.13,0.735,3,3,39,97,7.2,9.8,6.8
Lao People's Democratic Republic,66.9,143.904,0.485,28,34,32,72,0.7,25.9,6.2
Latvia,74.9,1470.02,0.865,1,7,55,92,9.6,10.1,30.2
Lesotho,52.1,237.816,0.499,2,10,64,41,24.2,30.5,7.8
Liberia,62.8,112.896,0.417,1,20,14,17,2.2,31,5.8
Lithuania,75.2,1878.144,0.887,3,6,66,93,7.9,10.3,28.6
Luxembourg,81.8,5824.342,0.798,1,1,81,98,6.3,9.7,20.1
Madagascar,65.9,83.82,0.494,16,41,48,10,1.8,25.6,5.2
Malawi,62.7,111.72,0.455,11,19,28,26,5.7,30.4,5
Maldives,78,1380.014,0.563,1,1,73,99,6.1,23,5.1
Mali,58,75.012,0.284,22,34,31,38,9.7,31.5,5.1
Malta,82.1,3313.311,0.818,3,7,63,100,4.7,8.1,29.2
Mauritania,64.2,154.98,0.378,14,28,37,46,10.4,32.7,5.5
Mauritius,74.6,1116.687,0.728,3,8,44,96,6.8,14,14.8
Mexico,74.9,978.505,0.678,4,4,52,90,3.9,21.2,10.4
Moldova (Republic of),71.6,535.5,0.707,6,12,49,76,4.2,10.3,14.1
Mongolia,69.3,427.31,0.731,1,2,57,58,7.2,13.7,5.9
Mozambique,58.3,59.568,0.381,10,15,53,28,3.4,32.6,5.6
Namibia,62.6,944.034,0.571,10,25,62,34,23.4,32.9,6.2
Nepal,69.8,154.161,0.502,8,17,19,59,1.4,24.8,9
Netherlands,81.9,4961.84,0.906,2,6,81,98,6,7.2,28.2
Nicaragua,73.9,435.174,0.562,1,1,61,74,4.3,23.6,7.6
Niger,61.1,56.544,0.233,8,24,24,13,0.3,27.4,5.5
Nigeria,53.5,196.164,0.475,30,35,13,38,6.2,36.6,5.2
Norway,82,6743.1,0.918,1,4,85,98,4.7,7.4,25.3
Pakistan,66.8,129.052,0.407,18,25,28,58,3.4,29,7.2
Panama,78,1568.332,0.692,4,5,66,82,3.3,20,11.9
Paraguay,73.8,910.48,0.631,6,15,52,89,5.3,21.9,9.5
Peru,76,633.165,0.691,6,12,64,74,3.5,19.6,11.6
Philippines,70.8,317.24,0.663,13,20,32,75,2.7,17.6,7.5
Poland,78.1,1696.11,0.866,1,4,70,98,6.2,9.2,23.7
Portugal,81.4,2475.746,0.759,1,2,66,100,11.1,13.6,32.6
Romania,75.6,1089.1,0.762,6,14,78,84,5.9,11.4,25.9
Russian Federation,71.8,1294.101,0.826,3,2,57,90,5.6,9.3,20.2
Rwanda,67.9,124.576,0.45,1,5,34,65,1,29.8,4.9
Saint Lucia,75.8,633.774,0.675,5,1,42,88,21.3,15.2,13.2
Sao Tome and Principe,69.7,177.24,0.534,3,7,40,43,13.6,19.7,5.4
Senegal,67.1,170.72,0.348,4,7,33,51,6.6,31.1,5.7
Serbia,75.5,1356.173,0.775,3,18,58,98,15.3,14.5,26.2
Sierra Leone,53.4,227.04,0.387,3,15,11,15,4.7,35.4,5.4
Slovakia,77,2076.537,0.822,1,5,80,98,9.7,6.8,20.7
Slovenia,80.9,2542.52,0.885,2,8,72,99,8,5.5,27.7
South Africa,63.2,991.926,0.721,14,15,54,75,26.6,30.3,7.8
Spain,83.1,3002.04,0.822,2,3,71,100,19.6,15.2,28.5
Sri Lanka,76.5,446.433,0.749,1,1,43,95,4.4,11.2,14.9
Sudan,64.7,248.349,0.336,3,14,19,36,13,35.9,6.3
Suriname,71.4,826.123,0.659,8,3,69,84,7.3,21.6,10.2
Sweden,82.4,5050.951,0.914,1,3,84,99,7,6.9,31.6
Switzerland,83.3,7028.42,0.896,2,6,63,100,4.9,7.6,27.2
Tajikistan,70.4,194.95,0.67,2,3,29,97,11,13.9,4.9
Tanzania (United Republic of),63.8,111.11,0.416,1,10,41,28,2.1,24.9,4.8
Thailand,76.4,581.27,0.65,1,1,78,98,0.7,16.6,15.4
Timor-Leste,68.7,302.64,0.495,14,26,56,52,3,28.7,7.7
Togo,60.2,99.066,0.506,7,13,20,16,1.7,30.9,5.1
Trinidad and Tobago,73.1,1901.77,0.721,3,14,53,93,3,14.7,14.4
Tunisia,76.1,761.39,0.656,1,4,57,91,15.5,21.4,11.5
Turkey,76.9,1017.552,0.71,1,2,78,97,10.8,15.2,12.1
Turkmenistan,67.8,1032.834,0.628,1,1,19,98,3.8,17.9,6.4
Uganda,62,109.554,0.504,1,21,17,18,1.8,29.7,3.8
Ukraine,71.7,514.426,0.797,58,58,42,96,9.4,6.8,23.1
United Kingdom,81.1,3863.65,0.914,2,8,80,99,4.8,10.3,28.3
United States,78.9,9171.072,0.899,2,8,52,100,4.9,12.7,22.8
Uruguay,77.5,1839.11,0.745,3,5,72,96,7.8,14.3,22.6
Uzbekistan,71.2,370.44,0.708,1,1,46,100,5.2,12.8,6.1
Vanuatu,70,102.675,0.54,7,16,54,36,5.7,16.7,6.5
Venezuela (Bolivarian Republic of),72.4,548.192,0.722,3,12,24,94,7.5,17.8,10.2
Viet Nam,75.2,336.072,0.621,4,1,47,82,1.9,17.2,9.7
Zambia,62.5,166.635,0.552,1,7,38,26,7.4,33,4
Zimbabwe,60.3,233.966,0.567,6,5,47,37,5.2,23.5,5.3
